date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200503,106588.0,1,1.0,6.123233995736766e-17,23.0,0.0679,154216.44827586206,154094.55172413794,30782.0,233242.0,141579.9,146683.83333333334,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,62744.666666666664,146403.36168582374,144480.5641762452
200504,155452.0,2,0.8660254037844387,-0.49999999999999983,21.0,0.0913,154216.44827586206,154094.55172413794,106588.0,50864.0,154216.44827586206,141579.9,141579.9,154094.55172413794,142557.76666666666,142557.76666666666,97607.33333333333,150248.95670498084,146403.36168582374
200505,171479.0,2,0.49999999999999994,-0.8660254037844387,22.0,0.1065,154216.44827586206,154094.55172413794,155452.0,30782.0,154216.44827586206,141579.9,141579.9,154094.55172413794,142557.76666666666,142557.76666666666,144506.33333333334,154094.55172413794,148326.15919540232
200506,182879.0,2,1.2246467991473532e-16,-1.0,20.0,0.1117,154216.44827586206,133424.93333333332,171479.0,106588.0,154216.44827586206,154216.44827586206,146683.83333333334,154094.55172413794,154094.55172413794,142557.76666666666,169936.66666666666,147204.67892720306,146804.0203065134
200507,139427.0,3,-0.4999999999999998,-0.8660254037844388,16.0,0.0767,154216.44827586206,133424.93333333332,182879.0,155452.0,154216.44827586206,154216.44827586206,141579.9,133424.93333333332,154094.55172413794,142557.76666666666,164595.0,140314.80613026817,145281.88141762454
200508,160338.0,3,-0.8660254037844384,-0.5000000000000004,21.0,0.0765,154216.44827586206,133424.93333333332,139427.0,171479.0,154216.44827586206,154216.44827586206,141579.9,133424.93333333332,154094.55172413794,142557.76666666666,160881.33333333334,133424.93333333332,143759.74252873563
200509,168723.0,3,-1.0,-1.8369701987210297e-16,19.0,0.0937,142183.76666666666,133424.93333333332,160338.0,182879.0,154216.44827586206,154216.44827586206,154216.44827586206,133424.93333333332,133424.93333333332,154094.55172413794,156162.66666666666,133424.93333333332,140314.80613026817
200510,143223.0,4,-0.8660254037844386,0.5000000000000001,20.0,0.0981,142183.76666666666,133424.93333333332,168723.0,139427.0,142183.76666666666,154216.44827586206,154216.44827586206,133424.93333333332,133424.93333333332,154094.55172413794,157428.0,133424.93333333332,136869.86973180078
200511,217707.0,4,-0.5000000000000004,0.8660254037844384,22.0,0.112,142183.76666666666,133424.93333333332,143223.0,160338.0,142183.76666666666,154216.44827586206,154216.44827586206,133424.93333333332,133424.93333333332,154094.55172413794,176551.0,133424.93333333332,133424.93333333332
200512,166600.0,4,-2.4492935982947064e-16,1.0,14.0,0.1085,142183.76666666666,133424.93333333332,217707.0,168723.0,142183.76666666666,142183.76666666666,154216.44827586206,133424.93333333332,133424.93333333332,133424.93333333332,175843.33333333334,133424.93333333332,133424.93333333332
200601,54065.0,1,0.49999999999999994,0.8660254037844387,19.0,0.034,142183.76666666666,133424.93333333332,166600.0,143223.0,142183.76666666666,142183.76666666666,154216.44827586206,133424.93333333332,133424.93333333332,133424.93333333332,146124.0,133424.93333333332,133424.93333333332
200602,87044.0,1,0.8660254037844386,0.5000000000000001,17.0,0.0359,142183.76666666666,133424.93333333332,54065.0,217707.0,142183.76666666666,142183.76666666666,154216.44827586206,133424.93333333332,133424.93333333332,133424.93333333332,102569.66666666667,133424.93333333332,133424.93333333332
200603,127679.0,1,1.0,6.123233995736766e-17,23.0,0.0679,131693.46666666667,133424.93333333332,87044.0,166600.0,142183.76666666666,142183.76666666666,142183.76666666666,133424.93333333332,133424.93333333332,133424.93333333332,89596.0,133424.93333333332,133424.93333333332
200604,137738.0,2,0.8660254037844387,-0.49999999999999983,20.0,0.0913,131693.46666666667,143202.33333333334,127679.0,54065.0,131693.46666666667,142183.76666666666,142183.76666666666,133424.93333333332,133424.93333333332,133424.93333333332,117487.0,136684.06666666665,135054.49999999997
200605,165099.0,2,0.49999999999999994,-0.8660254037844387,21.0,0.1065,131693.46666666667,143202.33333333334,137738.0,87044.0,131693.46666666667,142183.76666666666,142183.76666666666,143202.33333333334,133424.93333333332,133424.93333333332,143505.33333333334,139943.19999999998,136684.06666666668
200606,162464.0,2,1.2246467991473532e-16,-1.0,21.0,0.1117,142183.76666666666,143202.33333333334,165099.0,127679.0,131693.46666666667,131693.46666666667,142183.76666666666,143202.33333333334,133424.93333333332,133424.93333333332,155100.33333333334,143202.33333333334,138313.63333333333
200607,92099.0,3,-0.4999999999999998,-0.8660254037844388,11.0,0.0767,131693.46666666667,141076.24137931035,162464.0,137738.0,142183.76666666666,131693.46666666667,142183.76666666666,143202.33333333334,143202.33333333334,133424.93333333332,139887.33333333334,142493.63601532567,139588.8513409962
